#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::Linux	{{c1::ls}} 命令用于列出当前目录的内容。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	ls {{c1::-l}} 命令用于以长格式列出文件详细信息。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	ls {{c1::-a}} 命令用于显示隐藏文件（以.开头）。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	ls {{c1::-h}} 命令以人类可读的格式（如1K, 234M）显示文件大小。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	{{c1::cd}} 命令用于切换当前工作目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	cd {{c1::/path/to/dir}} 命令用于跳转到指定路径。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	cd {{c1::~}} 命令用于返回当前用户的主目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	cd {{c1::-}} 命令用于返回上一个工作目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	cd {{c1::..}} 命令用于返回上一级目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	{{c1::pwd}} 命令用于打印当前工作目录的完整路径。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	{{c1::mkdir}} 命令用于在当前目录下创建新目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	mkdir {{c1::-p}} 用于递归创建多级目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
Cloze	Inbox::CSSC::Linux	{{c1::rmdir}} 命令专门用于删除空目录。		"#CSSC::#Topic::Linux::ch01::01_Basic_File"
