#separator:tab
#html:false
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::HTML	HTML 中的注释语法是 {{c1::<!-- ... -->}}。	注释内容不会在浏览器中显示。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::01_Basics"
Cloze	Inbox::CSSC::HTML	定义段落的标签是 {{c1::<p>}}。	用于包裹一段文本。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::01_Basics"
Cloze	Inbox::CSSC::HTML	超链接标签 `<a>` 的 {{c1::href}} 属性用于指定目标 URL。	定义链接指向的地址。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::02_Links"
Cloze	Inbox::CSSC::HTML	"在 `<a>` 标签中，若要在新窗口打开链接，需设置 `target=""{{c1::_blank}}""`。"	表示在新标签页或窗口中打开。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::02_Links"
Cloze	Inbox::CSSC::HTML	图像标签 `<img>` 的 {{c1::src}} 属性是必须的，用于指定图像路径。	URL 或本地路径。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::03_Images"
Cloze	Inbox::CSSC::HTML	用于描述图像内容的 `<img>` 标签属性是 {{c1::alt}}。	当图像无法显示时，将显示此文本。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::03_Images"
Cloze	Inbox::CSSC::HTML	在 `<img>` 标签中，{{c1::loading}} 属性用于控制浏览器加载图像的方式（如懒加载）。	"例如 loading=""lazy""。"	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::03_Images"
Cloze	Inbox::CSSC::HTML	HTML 页面中应仅包含一个 {{c1::<h1>}} 标签。	主标题，对 SEO 至关重要。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::04_Text_Formatting"
Cloze	Inbox::CSSC::HTML	用于定义页面中一个块级部分或节的通用容器是 {{c1::<div>}}。	Division or Section.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::04_Text_Formatting"
Cloze	Inbox::CSSC::HTML	用于包裹行内文本或小部分内容的容器是 {{c1::<span>}}。	行内元素容器。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::04_Text_Formatting"
Cloze	Inbox::CSSC::HTML	在 HTML 中实现强制换行的标签是 {{c1::<br>}}。	Line Break.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::04_Text_Formatting"
Cloze	Inbox::CSSC::HTML	用于创建一条水平分割线的标签是 {{c1::<hr>}}。	Horizontal Line.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::04_Text_Formatting"
Cloze	Inbox::CSSC::HTML	用于在当前页面嵌入另一个 HTML 页面的标签是 {{c1::<iframe>}}。	Inline Frame.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch01::05_Iframe"
Cloze	Inbox::CSSC::HTML	HTML5 标签 {{c1::<article>}} 用于定义独立的自包含内容。	如博客文章。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<aside>}} 标签用于定义页面的次要内容（侧边栏）。	Secondary content.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	用于在页面中嵌入声音或音频流的 HTML5 标签是 {{c1::<audio>}}。	音频嵌入。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<canvas>}} 标签用于通过 JavaScript 绘制图形。	画布元素。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<data>}} 标签用于将内容链接到机器可读的翻译。	Machine readable content.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<datalist>}} 标签定义了 `<input>` 元素的预定义选项列表。	输入建议列表。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<details>}} 标签用于创建用户可以查看或隐藏的补充信息。	额外的详细信息。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<summary>}} 标签定义了 `<details>` 元素的摘要或标题。	折叠栏的标题。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<dialog>}} 标签用于定义对话框或子窗口。	Dialog box.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	用于嵌入外部应用程序或交互式内容（如插件）的标签是 {{c1::<embed>}}。	嵌入外部应用。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<figcaption>}} 标签用于为 `<figure>` 元素定义标题。	插图标注。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<figure>}} 标签用于定义独立的流内容，通常带有关联的标题。	Figure illustrated.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<footer>}} 标签通常包含文档或章节的页脚信息。	Footer or least important.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<header>}} 标签用于定义文档或章节的页眉。	Masthead or important information.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<main>}} 标签规定文档的主要内容。	一个文档中应只有一个 main。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	用于定义突出显示或标记的文本的标签是 {{c1::<mark>}}。	高亮文本。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<meter>}} 标签用于定义已知范围内的标量测量。	如磁盘使用情况。	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<nav>}} 标签用于定义页面中的导航链接区域。	Navigation links.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
Cloze	Inbox::CSSC::HTML	{{c1::<output>}} 标签用于显示计算或脚本的结果。	Result of a calculation.	"#CSSC::#Topic::HTML::99-Cheatsheet::ch02::01_HTML5_Semantic"
