#separator:tab
#html:false
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 是一种跨平台、{{c1::面向对象}}的脚本语言，用于使网页具有交互性。	面向对象 (Object-oriented)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 包含一个标准的对象库，例如 Array、{{c1::Map}} 和 Math。	标准库对象	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	{{c1::客户端}} JavaScript 通过提供控制浏览器及其文档对象模型 (DOM) 的对象来扩展核心语言。	客户端 (Client-side)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	{{c1::Node.js}} 是一种高级的服务器端 JavaScript 版本，允许实现如多台计算机间的实时协作等功能。	Node.js	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 的命名是因为它遵循了 Java 的大部分表达式语法、命名规范和基础{{c1::控制流}}结构。	控制流 (Control-flow)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 在更名之前最初被称为 {{c1::LiveScript}}。	LiveScript	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	与 Java 的静态类型不同，JavaScript 具有{{c1::动态}}类型（且弱类型）。	动态类型 (Dynamic typing)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	Java 是一种基于{{c1::类}}的编程语言，旨在实现快速执行和类型安全。	类 (Class-based)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 支持基于{{c1::原型}}的对象模型，而不是更常见的基于类的模型。	原型 (Prototype-based)	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	在 JavaScript 的原型模型中，继承是{{c1::动态}}的，即被继承的内容可以随单个对象而变化。	动态继承	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 脚本语言源自 HyperTalk 和 {{c1::dBase}} 等小型动态类型语言。	dBase	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript {{c1::不能}}自动写入硬盘，而 Java 可以。	安全限制	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	JavaScript 在 {{c1::Ecma International}}（欧洲计算机制造商协会）进行标准化。	Ecma International	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	标准化的 JavaScript 版本被称为 {{c1::ECMAScript}}。	ECMAScript	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
Cloze	Inbox::CSSC::02dev::javascript	ECMAScript 标准记录在 {{c1::ECMA-262}} 规范中。	ECMA-262	"#CSSC::#Topic::Javascript::01-guide::01-Introduction"
