#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::python	Python是一种{{c1::解释型}}语言，无需编译和链接即可运行。	大大节省了程序的开发时间。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python程序通过{{c1::缩进}}来对语句进行分组，而不是使用大括号。	这是Python核心语法特征之一。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	在Python编程中，不需要对变量或参数进行显式的{{c1::声明}}。	有助于保持代码简洁。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python被视为一种{{c1::极高级}}语言，内置了灵活的数组和字典等数据类型。	提供更高的数据抽象能力。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python支持将程序拆分为可在其他程序中重用的{{c1::模块}}。	方便代码复用和维护。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python的名称源自BBC电视节目{{c1::《蒙提·派森的飞行马戏团》}}。	该语言与爬行动物无关。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	相比C语言，Python在运行时提供了更多的{{c1::错误检查}}。	增强了程序的稳健性。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python具有良好的跨平台性，可在Windows、macOS和{{c1::Unix}}系统上运行。	适用于多种计算环境。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python是{{c1::可扩展}}的，允许使用C语言编写新函数来提升速度。	可用于执行关键性能操作。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	官方建议通过操作{{c1::解释器}}来配合阅读教程进行实践学习。	通过动手操作加深理解。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	相比Shell脚本，Python能为大型程序提供更好的{{c1::结构}}和支持。	比简单脚本更适合构建复杂系统。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python的高级数据类型允许在{{c1::单条}}语句中表达复杂的操作。	使代码编写非常紧凑且易读。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python的标准库中包含了图形界面工具包{{c1::Tk}}的接口。	允许快速创建GUI应用程序。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	交互模式下的Python解释器可以作为一个方便的{{c1::桌面计算器}}使用。	支持简单的数学运算和实验。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	由于不需要编译和链接，Python能显著缩短程序的{{c1::开发周期}}。	提高了开发者的工作效率。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python解释器可以被链接到C程序中，充当其{{c1::扩展}}或命令语言。	可作为已有应用的脚本接口。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python程序通常比等效的C++或Java程序更{{c1::短}}且更易读。	高级特性减少了冗余代码。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python非常适合执行{{c1::自动化}}任务，例如批量重命名和排列文件。	减少重复劳动。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Python自带了大量的{{c1::标准模块}}，涵盖了文件I/O、系统调用等功能。	提供了丰富的开箱即用功能。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	教程的后续章节将涉及异常处理和用户定义的{{c1::类}}等概念。	逐步引导学习Python的高级特性。	"#CSSC::#Topic::Python::ch01-preface"
Cloze	Inbox::CSSC::python	Unix上Python 3.13默认安装路径通常是 {{c1::/usr/local/bin/python3.13}}。	也可以将此路径加入shell搜索路径	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	在Unix系统的交互提示符下，按 {{c1::Control-D}} 可退出解释器。	会导致解释器以零状态退出	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	在Windows系统的交互提示符下，按 {{c1::Control-Z}} 可退出解释器。	会导致解释器以零状态退出	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	除了快捷键，还可以通过在交互模式输入命令 {{c1::quit()}} 退出解释器。	通用的退出命令	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	在Windows商店安装Python后，可直接使用 {{c1::python3.13}} 命令启动。	启动命令示例	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	检查命令行编辑功能是否可用的快捷键是 {{c1::Control-b}} 或左箭头键。	若光标移动则功能可用	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	若命令行编辑不可用，按键可能会出现 {{c1::^[[D}} 等字符序列。	此时只能用退格键删除	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	当解释器的标准输入连接到 {{c1::tty}} 设备时，它以交互模式运行。	类似 Unix shell 的工作方式	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	当解释器以文件名作为参数启动时，它会读取并执行文件中的 {{c1::脚本}}。	非交互式执行模式	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	使用命令选项 {{c1::-c}} 可以直接在命令行执行Python语句。	类似于 shell 的 -c 选项	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	使用命令行选项 {{c1::-m}} 可以将指定的模块作为脚本运行。	执行该模块对应的源文件	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	若要在执行完脚本后进入交互模式，需在脚本名前添加 {{c1::-i}} 选项。	方便在脚本运行后检查变量状态	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	解释器会将脚本名及其后的参数转为一个字符串列表，并赋值给 {{c1::sys.argv}}。	需先 import sys	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	命令行参数列表 argv 存储在名为 {{c1::sys}} 的内置模块中。	访问参数前需导入该模块	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	要访问命令行参数，代码中必须首先执行 {{c1::import sys}}。	前提条件	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	当没有给定脚本和参数启动解释器时，sys.argv 的值是 {{c1::空字符串}}。	表示交互式启动	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	"若脚本名给定为 &#x27;-&#x27;，则 sys.argv 会被设置为 {{c1::&#x27;-&#x27;}}。"	表示从标准输入读取代码	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	"当使用 -c command 选项时，sys.argv 被设置为 {{c1::&#x27;-c&#x27;}}。"	表示执行命令字符串	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	当使用 -m module 选项时，sys.argv 被设置为 {{c1::模块的全名}}。	包含找到的模块完整名称	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	在 -c 或 -m 之后的选项 {{c1::不会}} 被解释器的选项处理机制消耗。	这些选项会留在 argv 中供模块处理	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	解释器在交互模式下的主提示符通常由 {{c1::三个大于号 (&gt;&gt;&gt;)}} 组成。	等待用户输入新命令	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
Cloze	Inbox::CSSC::python	在交互模式下输入连续行（多行构造）时，显示的从属提示符是 {{c1::三个点 (...)}}。	表示当前语句尚未结束	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
Cloze	Inbox::CSSC::python	在打印第一个提示符前，解释器会先打印 {{c1::版本号}} 和版权声明。	欢迎信息的内容	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
Cloze	Inbox::CSSC::python	在交互模式下输入 if 等多行语句后，需输入一个 {{c1::空行}} 来执行。	告诉解释器代码块已结束	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
Cloze	Inbox::CSSC::python	默认情况下，Python 源文件被解释器视为以 {{c1::UTF-8}} 编码。	支持全球大多数语言字符	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	虽然源码支持UTF-8，但标准库约定在标识符中仅使用 {{c1::ASCII}} 字符。	为了保证代码的可移植性	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	要为文件声明非默认编码，必须在文件的第 {{c1::一}} 行添加特殊注释。	这是声明编码的标准位置	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	"Python 声明文件编码的标准语法是 {{c1::# -*- coding: encoding -*-}}。"	encoding 需替换为具体编码名称	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	若源文件包含 shebang 行，则编码声明应放在文件的第 {{c1::二}} 行。	这是第一行规则的唯一例外	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	"典型的 Unix shebang 行（用于定位解释器）格式为 {{c1::#!/usr/bin/env python3}}。"	通常放在脚本的第一行	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	"若要声明文件使用 Windows-1252 编码，应写为 {{c1::# -*- coding: cp1252 -*-}}。"	具体的编码声明示例	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	在 Unix 系统上，Python 3.x 通常不使用名为 python 的文件名，以避免与 {{c1::Python 2.x}} 冲突。	系统兼容性设计	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	如果安装了 Python 启动器，Windows 用户可以使用 {{c1::py}} 命令运行 Python。	py.exe 启动器功能	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	使用 -c 执行命令时，通常建议将命令字符串用 {{c1::引号}} 括起来。	防止 shell 解析其中的特殊字符	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	为了正确显示 UTF-8 文件中的特殊字符，编辑器必须具备 {{c1::编码识别}} 和相应字体支持。	环境显示要求	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	UTF-8 字符可以用于 Python 源文件中的字符串文字、标识符和 {{c1::注释}}。	编码的应用范围	"#CSSC::#Topic::Python::ch02-python_interpreter::02_02_01_Encoding"
Cloze	Inbox::CSSC::python	sys.argv 列表的长度至少为 {{c1::1}}，即使没有给定任何参数。	argv 始终存在	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_01_Arguments"
Cloze	Inbox::CSSC::python	交互模式下，{{c1::连续行}}（Continuation lines）出现在输入多行结构时。	使用从属提示符引导	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
Cloze	Inbox::CSSC::python	解释器退出时的 {{c1::零}} 状态码表示正常退出。	EOF 或 quit() 触发的状态	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_00_Invoking"
Cloze	Inbox::CSSC::python	在交互模式下，输入 {{c1::if}} 语句后按回车，会看到从属提示符 ...。	多行语句的交互示例	"#CSSC::#Topic::Python::ch02-python_interpreter::02_01_02_Interactive"
