#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::vim	Vim 中，向左移动光标的快捷键是 {{c1::h}}。	左移	Left Move
Cloze	Inbox::CSSC::vim	Vim 中，向下移动光标的快捷键是 {{c1::j}}。	下移	Down Move
Cloze	Inbox::CSSC::vim	Vim 中，向上移动光标的快捷键是 {{c1::k}}。	上移	Move Up
Cloze	Inbox::CSSC::vim	Vim 中，向右移动光标的快捷键是 {{c1::l}}。	右移	Move Right
Cloze	Inbox::CSSC::vim	向上滚动半屏的快捷键是 {{c1::&lt;C-u&gt;}}。	半屏上翻	"#CSSC::#Shortcuts::Python::ch01::01_05_Motions"
Cloze	Inbox::CSSC::vim	向下滚动半屏的快捷键是 {{c1::&lt;C-d&gt;}}。	半屏下翻	"#CSSC::#Shortcuts::Python::ch01::01_06_Motions"
Cloze	Inbox::CSSC::vim	向上滚动一整屏的快捷键是 {{c1::&lt;C-b&gt;}}。	整屏上翻	"#CSSC::#Shortcuts::Python::ch01::01_07_Motions"
Cloze	Inbox::CSSC::vim	向下滚动一整屏的快捷键是 {{c1::&lt;C-f&gt;}}。	整屏下翻	"#CSSC::#Shortcuts::Python::ch01::01_08_Motions"
Cloze	Inbox::CSSC::vim	移动到下一个单词开头的快捷键是 {{c1::w}}。	下个单词开头	"#CSSC::#Shortcuts::Python::ch01::01_09_Motions"
Cloze	Inbox::CSSC::vim	移动到上一个单词开头的快捷键是 {{c1::b}}。	上个单词开头	"#CSSC::#Shortcuts::Python::ch01::01_10_Motions"
Cloze	Inbox::CSSC::vim	移动到下个单词结尾的快捷键是 {{c1::e}}。	下个单词结尾	"#CSSC::#Shortcuts::Python::ch01::01_11_Motions"
Cloze	Inbox::CSSC::vim	移动到上个单词结尾的快捷键是 {{c1::ge}}。	上个单词结尾	"#CSSC::#Shortcuts::Python::ch01::01_12_Motions"
Cloze	Inbox::CSSC::vim	移动到行首的快捷键是 {{c1::0}} (数字零)。	行首	"#CSSC::#Shortcuts::Python::ch01::01_13_Motions"
Cloze	Inbox::CSSC::vim	移动到行尾的快捷键是 {{c1::$}}。	行尾	"#CSSC::#Shortcuts::Python::ch01::01_14_Motions"
Cloze	Inbox::CSSC::vim	移动到行内第一个非空白字符的快捷键是 {{c1::^}}。	非空行首	"#CSSC::#Shortcuts::Python::ch01::01_15_Motions"
Cloze	Inbox::CSSC::vim	"向后查找并跳转到字符 &#x27;e&#x27; 的快捷键是 {{c1::fe}}。"	字符查找	"#CSSC::#Shortcuts::Python::ch01::01_16_Motions"
Cloze	Inbox::CSSC::vim	"向前查找并跳转到字符 &#x27;e&#x27; 的快捷键是 {{c1::Fe}}。"	反向查找	"#CSSC::#Shortcuts::Python::ch01::01_17_Motions"
Cloze	Inbox::CSSC::vim	跳转到当前行的第 5 列，快捷键是 {{c1::5|}}。	列跳转	Column Go to
Cloze	Inbox::CSSC::vim	跳转到文档第一行的快捷键是 {{c1::gg}}。	首行	"#CSSC::#Shortcuts::Python::ch01::01_19_Motions"
Cloze	Inbox::CSSC::vim	跳转到文档最后一行的快捷键是 {{c1::G}}。	末行	"#CSSC::#Shortcuts::Python::ch01::01_20_Motions"
Cloze	Inbox::CSSC::vim	跳转到特定行号 n 的命令是 {{c1:::n}} 或 nG。	跳转行	"#CSSC::#Shortcuts::Python::ch01::01_21_Motions"
Cloze	Inbox::CSSC::vim	跳转到下一个空行的快捷键是 {{c1::}}}。	下个空行	"#CSSC::#Shortcuts::Python::ch01::01_22_Motions"
Cloze	Inbox::CSSC::vim	跳转到上一个空行的快捷键是 {{c1::{}}。	上个空行	"#CSSC::#Shortcuts::Python::ch01::01_23_Motions"
Cloze	Inbox::CSSC::vim	光标跳转到屏幕顶部的快捷键是 {{c1::H}}。	屏幕顶部	"#CSSC::#Shortcuts::Python::ch01::01_24_Motions"
Cloze	Inbox::CSSC::vim	光标跳转到屏幕中间的快捷键是 {{c1::M}}。	屏幕中间	"#CSSC::#Shortcuts::Python::ch01::01_25_Motions"
Cloze	Inbox::CSSC::vim	光标跳转到屏幕底部的快捷键是 {{c1::L}}。	屏幕底部	"#CSSC::#Shortcuts::Python::ch01::01_26_Motions"
Cloze	Inbox::CSSC::vim	将当前行置于屏幕顶部的快捷键是 {{c1::zt}}。	置顶行	"#CSSC::#Shortcuts::Python::ch01::01_27_Motions"
Cloze	Inbox::CSSC::vim	将当前行置于屏幕中间的快捷键是 {{c1::zz}}。	居中行	"#CSSC::#Shortcuts::Python::ch01::01_28_Motions"
Cloze	Inbox::CSSC::vim	将当前行置于屏幕底部的快捷键是 {{c1::zb}}。	置底行	"#CSSC::#Shortcuts::Python::ch01::01_29_Motions"
Cloze	Inbox::CSSC::vim	在光标前插入文本的快捷键是 {{c1::i}}。	前插	Before Insert
Cloze	Inbox::CSSC::vim	在光标后插入文本的快捷键是 {{c1::a}}。	后插	After Insert
Cloze	Inbox::CSSC::vim	在行首插入文本的快捷键是 {{c1::I}}。	行首插	Insert Line of Start
Cloze	Inbox::CSSC::vim	在行尾插入文本的快捷键是 {{c1::A}}。	行尾插	End Insert Line of
Cloze	Inbox::CSSC::vim	在下方新开一行并进入插入模式的快捷键是 {{c1::o}}。	下方新行	Below Line new
Cloze	Inbox::CSSC::vim	在上方新开一行并进入插入模式的快捷键是 {{c1::O}}。	上方新行	Above Line new
Cloze	Inbox::CSSC::vim	删除光标处字符并进入插入模式的快捷键是 {{c1::s}}。	删字插	"#CSSC::#Shortcuts::Python::ch01::02_07_Insert"
Cloze	Inbox::CSSC::vim	删除整行并进入插入模式的快捷键是 {{c1::S}}。	删行插	"#CSSC::#Shortcuts::Python::ch01::02_08_Insert"
Cloze	Inbox::CSSC::vim	从光标处删除至行尾并进入插入模式的快捷键是 {{c1::C}}。	变至行尾	"#CSSC::#Shortcuts::Python::ch01::02_09_Insert"
Cloze	Inbox::CSSC::vim	修改当前整行的快捷键是 {{c1::cc}}。	改整行	"#CSSC::#Shortcuts::Python::ch01::02_10_Insert"
Cloze	Inbox::CSSC::vim	回到上次插入点并进入插入模式的快捷键是 {{c1::gi}}。	续插	"#CSSC::#Shortcuts::Python::ch01::02_11_Insert"
Cloze	Inbox::CSSC::vim	退出插入模式的快捷键是 {{c1::Esc}} 或 &lt;C-[&gt;。	退出	"#CSSC::#Shortcuts::Python::ch01::02_12_Insert"
Cloze	Inbox::CSSC::vim	保存当前文件的命令是 {{c1:::w}}。	保存	"#CSSC::#Shortcuts::Python::ch01::03_01_Exit"
Cloze	Inbox::CSSC::vim	退出当前文件的命令是 {{c1:::q}}。	退出	"#CSSC::#Shortcuts::Python::ch01::03_02_Exit"
Cloze	Inbox::CSSC::vim	保存并退出的快捷命令是 {{c1:::wq}} 或 :x 或 ZZ。	存退	or ZZ.
Cloze	Inbox::CSSC::vim	强制退出的命令是 {{c1:::q!}} 或 ZQ。	强制退出	"#CSSC::#Shortcuts::Python::ch01::03_04_Exit"
Cloze	Inbox::CSSC::vim	保存并退出所有已打开文件的命令是 {{c1:::wqa}}。	全部存退	"#CSSC::#Shortcuts::Python::ch01::03_05_Exit"
Cloze	Inbox::CSSC::vim	关闭所有打开文件的命令是 {{c1:::qa}}。	全部关闭	"#CSSC::#Shortcuts::Python::ch01::03_06_Exit"
Cloze	Inbox::CSSC::vim	将内容另存为 new.txt 并开始编辑它的命令是 {{c1:::sav new.txt}}。	另存为	"#CSSC::#Shortcuts::Python::ch01::03_07_Exit"
Cloze	Inbox::CSSC::vim	强制将修改写入只读文件的命令是 {{c1:::w !sudo tee %}}。	提权写入	"#CSSC::#Shortcuts::Python::ch01::03_08_Exit"
Cloze	Inbox::CSSC::vim	替换光标处的一个字符的快捷键是 {{c1::r}}。	单字替换	"#CSSC::#Shortcuts::Python::ch01::04_01_Edit"
Cloze	Inbox::CSSC::vim	进入替换模式（连续替换）的快捷键是 {{c1::R}}。	替换模式	"#CSSC::#Shortcuts::Python::ch01::04_02_Edit"
Cloze	Inbox::CSSC::vim	撤销上一步操作的快捷键是 {{c1::u}}。	撤销	"#CSSC::#Shortcuts::Python::ch01::04_03_Edit"
Cloze	Inbox::CSSC::vim	撤销对当前行所做全部修改的快捷键是 {{c1::U}}。	行撤销	"#CSSC::#Shortcuts::Python::ch01::04_04_Edit"
Cloze	Inbox::CSSC::vim	将当前行与下一行合并的快捷键是 {{c1::J}}。	行合并	"#CSSC::#Shortcuts::Python::ch01::04_05_Edit"
Cloze	Inbox::CSSC::vim	重做（Redo）被撤销的操作的快捷键是 {{c1::&lt;C-r&gt;}}。	重做	"#CSSC::#Shortcuts::Python::ch01::04_06_Edit"
Cloze	Inbox::CSSC::vim	删除（剪切）光标处字符的快捷键是 {{c1::x}}。	删字	"#CSSC::#Shortcuts::Python::ch01::05_01_CutPaste"
Cloze	Inbox::CSSC::vim	在光标后粘贴内容的快捷键是 {{c1::p}}。	后贴	"#CSSC::#Shortcuts::Python::ch01::05_02_CutPaste"
Cloze	Inbox::CSSC::vim	在光标前粘贴内容的快捷键是 {{c1::P}}。	前贴	"#CSSC::#Shortcuts::Python::ch01::05_03_CutPaste"
Cloze	Inbox::CSSC::vim	交换两个字符的组合键是 {{c1::xp}} (先删再贴)。	交换字	"#CSSC::#Shortcuts::Python::ch01::05_04_CutPaste"
Cloze	Inbox::CSSC::vim	从光标处删除（剪切）到行尾的快捷键是 {{c1::D}}。	删至行尾	"#CSSC::#Shortcuts::Python::ch01::05_05_CutPaste"
Cloze	Inbox::CSSC::vim	删除（剪切）当前单词的快捷键是 {{c1::dw}}。	删词	"#CSSC::#Shortcuts::Python::ch01::05_06_CutPaste"
Cloze	Inbox::CSSC::vim	删除（剪切）当前整行的快捷键是 {{c1::dd}}。	删行	"#CSSC::#Shortcuts::Python::ch01::05_07_CutPaste"
Cloze	Inbox::CSSC::vim	交换当前行和下一行的组合键是 {{c1::ddp}}。	交换行	"#CSSC::#Shortcuts::Python::ch01::05_08_CutPaste"
Cloze	Inbox::CSSC::vim	复制（Yank）当前整行的快捷键是 {{c1::yy}}。	复制行	"#CSSC::#Shortcuts::Python::ch01::05_09_CutPaste"
Cloze	Inbox::CSSC::vim	从系统剪贴板粘贴内容的命令是 {{c1::&quot;+p}} 或 &quot;*p。	剪贴板贴	"#CSSC::#Shortcuts::Python::ch01::05_10_CutPaste"
