#separator:tab
#html:false
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 显示命令面板的快捷键是 {{c1::Ctrl Shift P}}。	显示命令面板	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 快速打开、转到文件的快捷键是 {{c1::Ctrl P}}。	快速打开文件	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 新建窗口/实例的快捷键是 {{c1::Ctrl Shift N}}。	新建窗口	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 关闭窗口/实例的快捷键是 {{c1::Ctrl Shift W}}。	关闭窗口	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 打开用户设置的快捷键是 {{c1::Ctrl ,}}。	用户设置	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 打开键盘快捷键设置的快捷键是 {{c1::Ctrl K Ctrl S}}。	键盘快捷键	"#CSSC::#Topic::VSCode::99-Cheatsheet::01_General"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 剪切行（空选择时）的快捷键是 {{c1::Ctrl X}}。	剪切行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 复制行（空选择时）的快捷键是 {{c1::Ctrl C}}。	复制行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 将行上移或下移的快捷键是 {{c1::Alt Up/Down}}。	移动行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 向上或向下复制行的快捷键是 {{c1::Shift Alt Up/Down}}。	复制行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 删除行的快捷键是 {{c1::Ctrl Shift K}}。	删除行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 在下方插入行的快捷键是 {{c1::Ctrl Enter}}。	在下方插入行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 在上方插入行的快捷键是 {{c1::Ctrl Shift Enter}}。	在上方插入行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到匹配括号的快捷键是 {{c1::Ctrl Shift \}}。	跳转匹配括号	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 行缩进或取消缩进的快捷键是 {{c1::Ctrl ]/[}}。	行缩进	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到行首或行尾的快捷键是 {{c1::Home/End}}。	转到行首/尾	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到文件开头的快捷键是 {{c1::Ctrl Home}}。	转到文件开头	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到文件结尾的快捷键是 {{c1::Ctrl End}}。	转到文件结尾	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 向上或下滚动一行的快捷键是 {{c1::Ctrl Up/Down}}。	滚动行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 向上或下翻页滚动的快捷键是 {{c1::Alt PgUp/PgDown}}。	翻页滚动	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 折叠（收起）区域的快捷键是 {{c1::Ctrl Shift [}}。	折叠区域	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 展开（取消折叠）区域的快捷键是 {{c1::Ctrl Shift ]}}。	展开区域	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 折叠所有子区域的快捷键是 {{c1::Ctrl K Ctrl [}}。	折叠子区域	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 展开所有子区域的快捷键是 {{c1::Ctrl K Ctrl ]}}。	展开子区域	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 折叠所有区域的快捷键是 {{c1::Ctrl K Ctrl 0}}。	折叠所有	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 展开所有区域的快捷键是 {{c1::Ctrl K Ctrl J}}。	展开所有	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 添加行注释的快捷键是 {{c1::Ctrl K Ctrl C}}。	添加行注释	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 移除行注释的快捷键是 {{c1::Ctrl K Ctrl U}}。	移除行注释	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 切换行注释的快捷键是 {{c1::Ctrl /}}。	切换行注释	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 切换块注释的快捷键是 {{c1::Shift Alt A}}。	切换块注释	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 切换自动换行的快捷键是 {{c1::Alt Z}}。	切换自动换行	"#CSSC::#Topic::VSCode::99-Cheatsheet::02_BasicEditing"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 显示所有符号的快捷键是 {{c1::Ctrl T}}。	显示所有符号	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 转到特定行的快捷键是 {{c1::Ctrl G}}。	转到行	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 转到文件的快捷键是 {{c1::Ctrl P}}。	转到文件	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 转到符号的快捷键是 {{c1::Ctrl Shift O}}。	转到符号	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 显示问题面板的快捷键是 {{c1::Ctrl Shift M}}。	显示问题面板	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到下一个错误或警告的快捷键是 {{c1::F8}}。	下个错误	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 跳转到上一个错误或警告的快捷键是 {{c1::Shift F8}}。	上个错误	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 浏览编辑器组历史记录的快捷键是 {{c1::Ctrl Shift Tab}}。	编辑器组历史	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 后退或前进导航的快捷键是 {{c1::Alt Left/Right}}。	后退/前进	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 切换 Tab 键移动焦点的快捷键是 {{c1::Ctrl M}}。	切换Tab移动焦点	"#CSSC::#Topic::VSCode::99-Cheatsheet::03_Navigation"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 查找内容的快捷键是 {{c1::Ctrl F}}。	查找	"#CSSC::#Topic::VSCode::99-Cheatsheet::04_SearchAndReplace"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 替换内容的快捷键是 {{c1::Ctrl H}}。	替换	"#CSSC::#Topic::VSCode::99-Cheatsheet::04_SearchAndReplace"
Cloze	Inbox::CSSC::02dev::vscode	VSCode (Windows) 查找下一个匹配项的快捷键是 {{c1::F3}}。	查找下一个	"#CSSC::#Topic::VSCode::99-Cheatsheet::04_SearchAndReplace"
