#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::git	git {{c1::init}}: 初始化一个新的 Git 仓库	初始化	"#CSSC::#Topic::Git::ch01::01_01_GettingStarted"
Cloze	Inbox::CSSC::git	克隆一个现有的仓库: git {{c1::clone}} <url></url>		"#CSSC::#Topic::Git::ch01::01_02_GettingStarted"
Cloze	Inbox::CSSC::git	暂存未跟踪的文件或未暂存的更改: git add {{c1::<file>}}</file>		"#CSSC::#Topic::Git::ch01::02_01_PrepareToCommit"
Cloze	Inbox::CSSC::git	暂存所有未跟踪的文件和未暂存的更改: git add {{c1::.}}		"#CSSC::#Topic::Git::ch01::02_02_PrepareToCommit"
Cloze	Inbox::CSSC::git	交互式地选择文件的某些部分进行暂存: git add {{c1::-p}}		"#CSSC::#Topic::Git::ch01::02_03_PrepareToCommit"
Cloze	Inbox::CSSC::git	移动或重命名文件: git {{c1::mv}} <old> <new></new></old>		"#CSSC::#Topic::Git::ch01::02_04_PrepareToCommit"
Cloze	Inbox::CSSC::git	删除文件: git {{c1::rm}} <file></file>		"#CSSC::#Topic::Git::ch01::02_05_PrepareToCommit"
Cloze	Inbox::CSSC::git	让 Git 不再跟踪该文件但不删除它: git rm {{c1::--cached}} <file></file>		"#CSSC::#Topic::Git::ch01::02_06_PrepareToCommit"
Cloze	Inbox::CSSC::git	取消暂存单个文件: git {{c1::reset}} <file></file>		"#CSSC::#Topic::Git::ch01::02_07_PrepareToCommit"
Cloze	Inbox::CSSC::git	取消暂存所有已暂存的内容: git {{c1::reset}}		"#CSSC::#Topic::Git::ch01::02_08_PrepareToCommit"
Cloze	Inbox::CSSC::git	检查当前已暂存的更改: git {{c1::status}}		"#CSSC::#Topic::Git::ch01::02_09_PrepareToCommit"
Cloze	Inbox::CSSC::git	执行提交（并打开编辑器编写消息）: git {{c1::commit}}		"#CSSC::#Topic::Git::ch01::03_01_MakeCommits"
Cloze	Inbox::CSSC::git	执行提交并直接指定消息内容: git commit {{c1::-m}} 'message'		"#CSSC::#Topic::Git::ch01::03_02_MakeCommits"
Cloze	Inbox::CSSC::git	提交所有未暂存的更改: git commit {{c1::-am}} 'message'		"#CSSC::#Topic::Git::ch01::03_03_MakeCommits"
Cloze	Inbox::CSSC::git	切换到指定分支: git {{c1::switch}} <name></name>		"#CSSC::#Topic::Git::ch01::04_01_MoveBetweenBranches"
